tag,kernel_id,block_id,sm_id,t_launch,t_dep_satisfied,t_end
chain6,3,88,10,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,89,11,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,90,26,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,91,27,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,92,42,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,93,43,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,94,58,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,95,59,1785763899514994688,1785763899515504736,1785763899516013920
chain6,3,96,74,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,97,75,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,98,88,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,99,89,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,100,102,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,101,103,1785763899514994656,1785763899515504736,1785763899516013920
chain6,3,102,116,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,103,117,1785763899514994720,1785763899515504736,1785763899516013888
chain6,3,104,130,1785763899514994656,1785763899515504736,1785763899516013888
chain6,3,105,131,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,106,136,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,107,137,1785763899514994688,1785763899515504736,1785763899516013888
chain6,3,108,12,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,109,13,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,110,28,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,111,29,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,112,44,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,113,45,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,114,60,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,115,61,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,116,76,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,117,77,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,118,90,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,119,91,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,120,104,1785763899514994624,1785763899515504704,1785763899516014112
chain6,3,121,105,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,122,118,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,123,119,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,124,132,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,125,133,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,126,138,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,127,139,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,128,14,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,129,15,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,130,30,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,131,31,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,132,46,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,133,47,1785763899514994624,1785763899515504704,1785763899516014080
chain6,3,134,62,1785763899514994592,1785763899515504704,1785763899516014080
chain6,3,135,63,1785763899514994624,1785763899515504704,1785763899516014080
